"Name","Year","Average amount of student loans received by full-time freshmen who borrowed","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Per capita amount received in student loans by full-time freshmen  ","Average debt of graduates","Percent of graduates with debt","Per capita debt of graduates","Average debt of graduates in federal loans","Percent of graduates borrowing federal loans","Nonfederal debt of graduates, as percent of total debt","Average percentage of need met of full-time undergraduates"
"Minnesota - Public, 4-year or above","2017-18","","","","","29569","0.66","19516","22367","0.65","0.26","0.7"
"Minnesota - Public, 4-year or above","2016-17","8236","9933","0.6","4941","29467","0.68","20038","23095","0.66","0.24","0.7"
"Minnesota - Public, 4-year or above","2015-16","8103","9673","0.6","4862","30091","0.67","20161","23097","0.66","0.24","0.68"
"Minnesota - Public, 4-year or above","2011-12","7689","10826","0.64","4921","29958","0.69","20567","22611","0.67","0.27","0.71"
"Minnesota - Public, 4-year or above","2012-13","7556","10200","0.62","4685","29657","0.69","20566","22635","0.65","0.28","0.68"
"Minnesota - Public, 4-year or above","2013-14","7682","10140","0.62","4763","29800","0.69","20419","22965","0.67","0.25","0.67"
"Minnesota - Public, 4-year or above","2014-15","7806","9996","0.62","4840","29377","0.69","20354","21990","0.68","0.27","0.67"
"Minnesota - Public, 4-year or above","2010-11","7225","11135","0.65","4696","28907","0.7","20261","20355","0.67","0.33","0.69"
"Minnesota - Public, 4-year or above","2009-10","7204","10521","0.62","4466","27613","0.7","19256","18374","0.67","0.36","0.77"
"Minnesota - Public, 4-year or above","2008-09","7502","10196","0.6","4501","26308","0.71","18547","17322","0.68","0.37","0.72"
"Minnesota - Public, 4-year or above","2007-08","6594","9606","0.57","3758","23526","0.71","16630","15971","0.69","0.34","0.73"
"Minnesota - Public, 4-year or above","2003-04","4392","10060","0.6","2635","17256","0.7","12162","","","","0.77"
"Minnesota - Public, 4-year or above","2004-05","5048","10152","0.61","3079","18170","0.67","12251","","","","0.77"
"Minnesota - Public, 4-year or above","2005-06","5436","9904","0.61","3316","20618","0.72","14766","","","","0.77"
"Minnesota - Public, 4-year or above","2006-07","5806","9934","0.6","3483","22224","0.72","15939","","","","0.74"
"Minnesota - Public, 4-year or above","2000-01","3394","8687","0.55","1867","","","","","","","0.71"


"Citation: The Institute for College Access & Success, College Insight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2019 Peterson's LLC, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to the restrictions of our Creative Commons license (https://creativecommons.org/licenses/by-nc-nd/3.0/). ",,

"Table generated on 1/22/2020"
